['S_NAME', 'S_NATIONKEY']
('Supplier#000000076       ', Decimal('14'))
('Supplier#000000077       ', Decimal('7'))
('Supplier#000000078       ', Decimal('5'))
('Supplier#000000079       ', Decimal('14'))
('Supplier#000000080       ', Decimal('21'))
('Supplier#000000081       ', Decimal('12'))
('Supplier#000000082       ', Decimal('18'))
('Supplier#000000083       ', Decimal('14'))
('Supplier#000000084       ', Decimal('24'))
('Supplier#000000085       ', Decimal('7'))
('Supplier#000000086       ', Decimal('19'))
('Supplier#000000087       ', Decimal('24'))
('Supplier#000000088       ', Decimal('11'))
('Supplier#000000089       ', Decimal('9'))
('Supplier#000000090       ', Decimal('6'))
('Supplier#000000091       ', Decimal('3'))
('Supplier#000000092       ', Decimal('2'))
('Supplier#000000093       ', Decimal('16'))
('Supplier#000000094       ', Decimal('4'))
('Supplier#000000095       ', Decimal('19'))
('Supplier#000000096       ', Decimal('12'))
('Supplier#000000097       ', Decimal('4'))
('Supplier#000000098       ', Decimal('21'))
('Supplier#000000099       ', Decimal('18'))
('Supplier#000000100       ', Decimal('21'))
('Supplier#000000101       ', Decimal('11'))
('Supplier#000000102       ', Decimal('8'))
('Supplier#000000103       ', Decimal('2'))
('Supplier#000000104       ', Decimal('6'))
('Supplier#000000105       ', Decimal('4'))
('Supplier#000000106       ', Decimal('21'))
('Supplier#000000107       ', Decimal('16'))
('Supplier#000000108       ', Decimal('24'))
('Supplier#000000109       ', Decimal('21'))
('Supplier#000000110       ', Decimal('15'))
('Supplier#000000111       ', Decimal('4'))
('Supplier#000000112       ', Decimal('12'))
('Supplier#000000113       ', Decimal('11'))
('Supplier#000000114       ', Decimal('20'))
('Supplier#000000115       ', Decimal('23'))
('Supplier#000000116       ', Decimal('13'))
('Supplier#000000117       ', Decimal('18'))
('Supplier#000000118       ', Decimal('0'))
('Supplier#000000119       ', Decimal('18'))
('Supplier#000000120       ', Decimal('7'))
('Supplier#000000121       ', Decimal('6'))
('Supplier#000000122       ', Decimal('16'))
('Supplier#000000123       ', Decimal('19'))
('Supplier#000000124       ', Decimal('8'))
('Supplier#000000125       ', Decimal('2'))
('Supplier#000000126       ', Decimal('14'))
('Supplier#000000127       ', Decimal('1'))
('Supplier#000000128       ', Decimal('23'))
('Supplier#000000129       ', Decimal('15'))
('Supplier#000000130       ', Decimal('23'))
('Supplier#000000131       ', Decimal('14'))
('Supplier#000000132       ', Decimal('5'))
('Supplier#000000133       ', Decimal('4'))
('Supplier#000000134       ', Decimal('6'))
('Supplier#000000135       ', Decimal('7'))
('Supplier#000000136       ', Decimal('8'))
('Supplier#000000137       ', Decimal('18'))
('Supplier#000000138       ', Decimal('19'))
('Supplier#000000139       ', Decimal('22'))
('Supplier#000000140       ', Decimal('16'))
('Supplier#000000141       ', Decimal('10'))
('Supplier#000000142       ', Decimal('16'))
('Supplier#000000143       ', Decimal('12'))
('Supplier#000000144       ', Decimal('20'))
('Supplier#000000145       ', Decimal('6'))
('Supplier#000000146       ', Decimal('22'))
('Supplier#000000147       ', Decimal('23'))
('Supplier#000000148       ', Decimal('7'))
('Supplier#000000149       ', Decimal('6'))
('Supplier#000000150       ', Decimal('5'))
('Supplier#000000151       ', Decimal('22'))
('Supplier#000000152       ', Decimal('24'))
('Supplier#000000153       ', Decimal('9'))
('Supplier#000000154       ', Decimal('13'))
('Supplier#000000155       ', Decimal('22'))
('Supplier#000000156       ', Decimal('5'))
('Supplier#000000157       ', Decimal('3'))
('Supplier#000000158       ', Decimal('7'))
('Supplier#000000159       ', Decimal('4'))
('Supplier#000000160       ', Decimal('4'))
('Supplier#000000161       ', Decimal('0'))
('Supplier#000000162       ', Decimal('9'))
('Supplier#000000163       ', Decimal('12'))
('Supplier#000000164       ', Decimal('2'))
('Supplier#000000165       ', Decimal('14'))
('Supplier#000000166       ', Decimal('13'))
('Supplier#000000167       ', Decimal('20'))
('Supplier#000000168       ', Decimal('9'))
('Supplier#000000169       ', Decimal('13'))
('Supplier#000000170       ', Decimal('23'))
('Supplier#000000171       ', Decimal('10'))
('Supplier#000000172       ', Decimal('22'))
('Supplier#000000173       ', Decimal('12'))
('Supplier#000000174       ', Decimal('22'))
('Supplier#000000175       ', Decimal('12'))
('Supplier#000000176       ', Decimal('10'))
('Supplier#000000177       ', Decimal('12'))
('Supplier#000000178       ', Decimal('16'))
('Supplier#000000179       ', Decimal('19'))
('Supplier#000000180       ', Decimal('7'))
('Supplier#000000181       ', Decimal('14'))
('Supplier#000000182       ', Decimal('7'))
('Supplier#000000183       ', Decimal('0'))
('Supplier#000000184       ', Decimal('1'))
('Supplier#000000185       ', Decimal('17'))
('Supplier#000000186       ', Decimal('1'))
('Supplier#000000187       ', Decimal('18'))
('Supplier#000000188       ', Decimal('20'))
('Supplier#000000189       ', Decimal('9'))
('Supplier#000000190       ', Decimal('10'))
('Supplier#000000191       ', Decimal('18'))
('Supplier#000000192       ', Decimal('15'))
('Supplier#000000193       ', Decimal('5'))
('Supplier#000000194       ', Decimal('9'))
('Supplier#000000195       ', Decimal('2'))
('Supplier#000000196       ', Decimal('18'))
('Supplier#000000197       ', Decimal('3'))
('Supplier#000000198       ', Decimal('6'))
('Supplier#000000199       ', Decimal('22'))
('Supplier#000000200       ', Decimal('11'))
('Supplier#000000201       ', Decimal('18'))
('Supplier#000000202       ', Decimal('23'))
('Supplier#000000203       ', Decimal('1'))
('Supplier#000000204       ', Decimal('15'))
('Supplier#000000205       ', Decimal('3'))
('Supplier#000000206       ', Decimal('19'))
('Supplier#000000207       ', Decimal('2'))
('Supplier#000000208       ', Decimal('4'))
('Supplier#000000209       ', Decimal('18'))
('Supplier#000000210       ', Decimal('2'))
('Supplier#000000211       ', Decimal('2'))
('Supplier#000000212       ', Decimal('7'))
('Supplier#000000213       ', Decimal('18'))
('Supplier#000000214       ', Decimal('14'))
('Supplier#000000215       ', Decimal('12'))
('Supplier#000000216       ', Decimal('14'))
('Supplier#000000217       ', Decimal('15'))
('Supplier#000000218       ', Decimal('10'))
('Supplier#000000219       ', Decimal('9'))
('Supplier#000000220       ', Decimal('19'))
('Supplier#000000221       ', Decimal('11'))
('Supplier#000000222       ', Decimal('15'))
('Supplier#000000223       ', Decimal('2'))
('Supplier#000000224       ', Decimal('5'))
('Supplier#000000225       ', Decimal('9'))
('Supplier#000000226       ', Decimal('3'))
('Supplier#000000227       ', Decimal('4'))
('Supplier#000000228       ', Decimal('14'))
('Supplier#000000229       ', Decimal('14'))
('Supplier#000000230       ', Decimal('1'))
('Supplier#000000231       ', Decimal('5'))
('Supplier#000000232       ', Decimal('7'))
('Supplier#000000233       ', Decimal('6'))
('Supplier#000000234       ', Decimal('24'))
('Supplier#000000235       ', Decimal('8'))
('Supplier#000000236       ', Decimal('15'))
('Supplier#000000237       ', Decimal('23'))
('Supplier#000000238       ', Decimal('8'))
('Supplier#000000239       ', Decimal('22'))
('Supplier#000000240       ', Decimal('10'))
('Supplier#000000241       ', Decimal('8'))
('Supplier#000000242       ', Decimal('11'))
('Supplier#000000243       ', Decimal('6'))
('Supplier#000000244       ', Decimal('1'))
('Supplier#000000245       ', Decimal('8'))
('Supplier#000000246       ', Decimal('4'))
('Supplier#000000247       ', Decimal('23'))
('Supplier#000000248       ', Decimal('6'))
('Supplier#000000249       ', Decimal('10'))
('Supplier#000000250       ', Decimal('9'))
('Supplier#000000251       ', Decimal('21'))
('Supplier#000000252       ', Decimal('11'))
('Supplier#000000253       ', Decimal('21'))
('Supplier#000000254       ', Decimal('7'))
('Supplier#000000255       ', Decimal('18'))
('Supplier#000000256       ', Decimal('11'))
('Supplier#000000257       ', Decimal('16'))
('Supplier#000000258       ', Decimal('7'))
('Supplier#000000259       ', Decimal('10'))
('Supplier#000000260       ', Decimal('23'))
('Supplier#000000261       ', Decimal('0'))
('Supplier#000000262       ', Decimal('20'))
('Supplier#000000263       ', Decimal('14'))
('Supplier#000000264       ', Decimal('19'))
('Supplier#000000265       ', Decimal('19'))
('Supplier#000000266       ', Decimal('23'))
('Supplier#000000267       ', Decimal('10'))
('Supplier#000000268       ', Decimal('23'))
('Supplier#000000269       ', Decimal('2'))
('Supplier#000000270       ', Decimal('23'))
('Supplier#000000271       ', Decimal('15'))
('Supplier#000000272       ', Decimal('7'))
('Supplier#000000273       ', Decimal('15'))
('Supplier#000000274       ', Decimal('21'))
('Supplier#000000275       ', Decimal('21'))
('Supplier#000000276       ', Decimal('6'))
('Supplier#000000277       ', Decimal('12'))
('Supplier#000000278       ', Decimal('9'))
('Supplier#000000279       ', Decimal('13'))
('Supplier#000000280       ', Decimal('11'))
('Supplier#000000281       ', Decimal('0'))
('Supplier#000000282       ', Decimal('8'))
('Supplier#000000283       ', Decimal('17'))
('Supplier#000000284       ', Decimal('15'))
('Supplier#000000285       ', Decimal('3'))
('Supplier#000000286       ', Decimal('10'))
('Supplier#000000287       ', Decimal('3'))
('Supplier#000000288       ', Decimal('10'))
('Supplier#000000289       ', Decimal('16'))
('Supplier#000000290       ', Decimal('6'))
('Supplier#000000291       ', Decimal('0'))
('Supplier#000000292       ', Decimal('21'))
('Supplier#000000293       ', Decimal('9'))
('Supplier#000000294       ', Decimal('18'))
('Supplier#000000295       ', Decimal('23'))
('Supplier#000000296       ', Decimal('14'))
('Supplier#000000297       ', Decimal('1'))
('Supplier#000000298       ', Decimal('5'))
('Supplier#000000299       ', Decimal('10'))
('Supplier#000000300       ', Decimal('2'))
('Supplier#000000301       ', Decimal('4'))
('Supplier#000000302       ', Decimal('18'))
('Supplier#000000303       ', Decimal('8'))
('Supplier#000000304       ', Decimal('11'))
('Supplier#000000305       ', Decimal('17'))
('Supplier#000000306       ', Decimal('16'))
('Supplier#000000307       ', Decimal('14'))
('Supplier#000000308       ', Decimal('8'))
('Supplier#000000309       ', Decimal('2'))
('Supplier#000000310       ', Decimal('0'))
('Supplier#000000311       ', Decimal('22'))
('Supplier#000000312       ', Decimal('13'))
('Supplier#000000313       ', Decimal('9'))
('Supplier#000000314       ', Decimal('22'))
('Supplier#000000315       ', Decimal('2'))
('Supplier#000000316       ', Decimal('0'))
('Supplier#000000317       ', Decimal('17'))
('Supplier#000000318       ', Decimal('24'))
('Supplier#000000319       ', Decimal('18'))
('Supplier#000000320       ', Decimal('21'))
('Supplier#000000321       ', Decimal('19'))
('Supplier#000000322       ', Decimal('6'))
('Supplier#000000323       ', Decimal('22'))
('Supplier#000000324       ', Decimal('18'))
('Supplier#000000325       ', Decimal('8'))
('Supplier#000000326       ', Decimal('7'))
('Supplier#000000327       ', Decimal('0'))
('Supplier#000000328       ', Decimal('7'))
('Supplier#000000329       ', Decimal('17'))
('Supplier#000000330       ', Decimal('22'))
('Supplier#000000331       ', Decimal('22'))
('Supplier#000000332       ', Decimal('9'))
('Supplier#000000333       ', Decimal('22'))
('Supplier#000000334       ', Decimal('13'))
('Supplier#000000335       ', Decimal('16'))
('Supplier#000000336       ', Decimal('1'))
('Supplier#000000337       ', Decimal('12'))
('Supplier#000000338       ', Decimal('16'))
('Supplier#000000339       ', Decimal('5'))
('Supplier#000000340       ', Decimal('22'))
('Supplier#000000341       ', Decimal('14'))
('Supplier#000000342       ', Decimal('2'))
('Supplier#000000343       ', Decimal('4'))
('Supplier#000000344       ', Decimal('11'))
('Supplier#000000345       ', Decimal('18'))
('Supplier#000000346       ', Decimal('8'))
('Supplier#000000347       ', Decimal('8'))
('Supplier#000000348       ', Decimal('8'))
('Supplier#000000349       ', Decimal('13'))
('Supplier#000000350       ', Decimal('7'))
('Supplier#000000351       ', Decimal('12'))
('Supplier#000000352       ', Decimal('16'))
('Supplier#000000353       ', Decimal('15'))
('Supplier#000000354       ', Decimal('3'))
('Supplier#000000355       ', Decimal('16'))
('Supplier#000000356       ', Decimal('11'))
('Supplier#000000357       ', Decimal('20'))
('Supplier#000000358       ', Decimal('3'))
('Supplier#000000359       ', Decimal('24'))
('Supplier#000000360       ', Decimal('5'))
('Supplier#000000361       ', Decimal('3'))
('Supplier#000000362       ', Decimal('23'))
('Supplier#000000363       ', Decimal('1'))
('Supplier#000000364       ', Decimal('9'))
('Supplier#000000365       ', Decimal('23'))
('Supplier#000000366       ', Decimal('12'))
('Supplier#000000367       ', Decimal('22'))
('Supplier#000000368       ', Decimal('0'))
('Supplier#000000369       ', Decimal('7'))
('Supplier#000000370       ', Decimal('0'))
('Supplier#000000371       ', Decimal('19'))
('Supplier#000000372       ', Decimal('5'))
('Supplier#000000373       ', Decimal('16'))
('Supplier#000000374       ', Decimal('2'))
('Supplier#000000375       ', Decimal('11'))
('Supplier#000000376       ', Decimal('16'))
('Supplier#000000377       ', Decimal('16'))
('Supplier#000000378       ', Decimal('3'))
('Supplier#000000379       ', Decimal('20'))
('Supplier#000000380       ', Decimal('20'))
('Supplier#000000381       ', Decimal('6'))
('Supplier#000000382       ', Decimal('15'))
('Supplier#000000383       ', Decimal('22'))
('Supplier#000000384       ', Decimal('7'))
('Supplier#000000385       ', Decimal('18'))
('Supplier#000000386       ', Decimal('13'))
('Supplier#000000387       ', Decimal('7'))
('Supplier#000000388       ', Decimal('18'))
('Supplier#000000389       ', Decimal('24'))
('Supplier#000000390       ', Decimal('7'))
('Supplier#000000391       ', Decimal('15'))
('Supplier#000000392       ', Decimal('17'))
('Supplier#000000393       ', Decimal('5'))
('Supplier#000000394       ', Decimal('9'))
('Supplier#000000395       ', Decimal('18'))
('Supplier#000000396       ', Decimal('10'))
('Supplier#000000397       ', Decimal('24'))
('Supplier#000000398       ', Decimal('10'))
('Supplier#000000399       ', Decimal('20'))
('Supplier#000000400       ', Decimal('21'))
('Supplier#000000401       ', Decimal('10'))
('Supplier#000000402       ', Decimal('3'))
('Supplier#000000403       ', Decimal('9'))
('Supplier#000000404       ', Decimal('7'))
('Supplier#000000405       ', Decimal('24'))
('Supplier#000000406       ', Decimal('21'))
('Supplier#000000407       ', Decimal('11'))
('Supplier#000000408       ', Decimal('22'))
('Supplier#000000409       ', Decimal('7'))
('Supplier#000000410       ', Decimal('19'))
('Supplier#000000411       ', Decimal('18'))
('Supplier#000000412       ', Decimal('12'))
('Supplier#000000413       ', Decimal('11'))
('Supplier#000000414       ', Decimal('21'))
('Supplier#000000415       ', Decimal('20'))
('Supplier#000000416       ', Decimal('11'))
('Supplier#000000417       ', Decimal('6'))
('Supplier#000000418       ', Decimal('24'))
('Supplier#000000419       ', Decimal('6'))
('Supplier#000000420       ', Decimal('12'))
('Supplier#000000421       ', Decimal('8'))
('Supplier#000000422       ', Decimal('10'))
('Supplier#000000423       ', Decimal('24'))
('Supplier#000000424       ', Decimal('22'))
('Supplier#000000425       ', Decimal('0'))
('Supplier#000000426       ', Decimal('23'))
('Supplier#000000427       ', Decimal('20'))
('Supplier#000000428       ', Decimal('17'))
('Supplier#000000429       ', Decimal('23'))
('Supplier#000000430       ', Decimal('1'))
('Supplier#000000431       ', Decimal('3'))
('Supplier#000000432       ', Decimal('10'))
('Supplier#000000433       ', Decimal('14'))
('Supplier#000000434       ', Decimal('5'))
('Supplier#000000435       ', Decimal('8'))
('Supplier#000000436       ', Decimal('20'))
('Supplier#000000437       ', Decimal('7'))
('Supplier#000000438       ', Decimal('24'))
('Supplier#000000439       ', Decimal('9'))
('Supplier#000000440       ', Decimal('15'))
('Supplier#000000441       ', Decimal('14'))
('Supplier#000000442       ', Decimal('11'))
('Supplier#000000443       ', Decimal('10'))
('Supplier#000000444       ', Decimal('21'))
('Supplier#000000445       ', Decimal('20'))
('Supplier#000000446       ', Decimal('8'))
('Supplier#000000447       ', Decimal('5'))
('Supplier#000000448       ', Decimal('24'))
('Supplier#000000449       ', Decimal('10'))
('Supplier#000000450       ', Decimal('23'))
('Supplier#000000451       ', Decimal('6'))
('Supplier#000000452       ', Decimal('17'))
('Supplier#000000453       ', Decimal('21'))
('Supplier#000000454       ', Decimal('0'))
('Supplier#000000455       ', Decimal('9'))
('Supplier#000000456       ', Decimal('5'))
('Supplier#000000457       ', Decimal('8'))
('Supplier#000000458       ', Decimal('21'))
('Supplier#000000459       ', Decimal('18'))
('Supplier#000000460       ', Decimal('20'))
('Supplier#000000461       ', Decimal('22'))
('Supplier#000000462       ', Decimal('5'))
('Supplier#000000463       ', Decimal('0'))
('Supplier#000000464       ', Decimal('5'))
('Supplier#000000465       ', Decimal('17'))
('Supplier#000000466       ', Decimal('22'))
('Supplier#000000467       ', Decimal('12'))
('Supplier#000000468       ', Decimal('6'))
('Supplier#000000469       ', Decimal('9'))
('Supplier#000000470       ', Decimal('19'))
('Supplier#000000471       ', Decimal('12'))
('Supplier#000000472       ', Decimal('20'))
('Supplier#000000473       ', Decimal('15'))
('Supplier#000000474       ', Decimal('0'))
('Supplier#000000475       ', Decimal('3'))
('Supplier#000000476       ', Decimal('0'))
('Supplier#000000477       ', Decimal('7'))
('Supplier#000000478       ', Decimal('11'))
('Supplier#000000479       ', Decimal('18'))
('Supplier#000000480       ', Decimal('14'))
('Supplier#000000481       ', Decimal('9'))
('Supplier#000000482       ', Decimal('14'))
('Supplier#000000483       ', Decimal('2'))
('Supplier#000000484       ', Decimal('24'))
('Supplier#000000485       ', Decimal('1'))
('Supplier#000000486       ', Decimal('20'))
('Supplier#000000487       ', Decimal('5'))
('Supplier#000000488       ', Decimal('13'))
('Supplier#000000489       ', Decimal('10'))
('Supplier#000000490       ', Decimal('2'))
('Supplier#000000491       ', Decimal('0'))
('Supplier#000000492       ', Decimal('14'))
('Supplier#000000493       ', Decimal('11'))
('Supplier#000000494       ', Decimal('13'))
('Supplier#000000495       ', Decimal('12'))
('Supplier#000000496       ', Decimal('20'))
('Supplier#000000497       ', Decimal('12'))
('Supplier#000000498       ', Decimal('17'))
('Supplier#000000499       ', Decimal('18'))
('Supplier#000000500       ', Decimal('20'))
('Supplier#000000501       ', Decimal('24'))
('Supplier#000000502       ', Decimal('4'))
('Supplier#000000503       ', Decimal('20'))
('Supplier#000000504       ', Decimal('10'))
('Supplier#000000505       ', Decimal('9'))
('Supplier#000000506       ', Decimal('23'))
('Supplier#000000507       ', Decimal('9'))
('Supplier#000000508       ', Decimal('14'))
('Supplier#000000509       ', Decimal('6'))
('Supplier#000000510       ', Decimal('19'))
('Supplier#000000511       ', Decimal('23'))
('Supplier#000000512       ', Decimal('15'))
('Supplier#000000513       ', Decimal('4'))
('Supplier#000000514       ', Decimal('14'))
('Supplier#000000515       ', Decimal('17'))
('Supplier#000000516       ', Decimal('5'))
('Supplier#000000517       ', Decimal('8'))
('Supplier#000000518       ', Decimal('1'))
('Supplier#000000519       ', Decimal('19'))
('Supplier#000000520       ', Decimal('12'))
('Supplier#000000521       ', Decimal('1'))
('Supplier#000000522       ', Decimal('8'))
('Supplier#000000523       ', Decimal('18'))
('Supplier#000000524       ', Decimal('13'))
('Supplier#000000525       ', Decimal('11'))
('Supplier#000000526       ', Decimal('5'))
('Supplier#000000527       ', Decimal('18'))
('Supplier#000000528       ', Decimal('2'))
('Supplier#000000529       ', Decimal('10'))
('Supplier#000000530       ', Decimal('3'))
('Supplier#000000531       ', Decimal('22'))
('Supplier#000000532       ', Decimal('3'))
('Supplier#000000533       ', Decimal('7'))
('Supplier#000000534       ', Decimal('9'))
('Supplier#000000535       ', Decimal('10'))
('Supplier#000000536       ', Decimal('17'))
('Supplier#000000537       ', Decimal('13'))
('Supplier#000000538       ', Decimal('17'))
('Supplier#000000539       ', Decimal('1'))
('Supplier#000000540       ', Decimal('16'))
('Supplier#000000541       ', Decimal('17'))
('Supplier#000000542       ', Decimal('5'))
('Supplier#000000543       ', Decimal('15'))
('Supplier#000000544       ', Decimal('1'))
('Supplier#000000545       ', Decimal('2'))
('Supplier#000000546       ', Decimal('22'))
('Supplier#000000547       ', Decimal('8'))
('Supplier#000000548       ', Decimal('12'))
('Supplier#000000549       ', Decimal('0'))
('Supplier#000000550       ', Decimal('12'))
('Supplier#000000551       ', Decimal('8'))
('Supplier#000000552       ', Decimal('12'))
('Supplier#000000553       ', Decimal('6'))
('Supplier#000000554       ', Decimal('7'))
('Supplier#000000555       ', Decimal('3'))
('Supplier#000000556       ', Decimal('6'))
('Supplier#000000557       ', Decimal('3'))
('Supplier#000000558       ', Decimal('9'))
('Supplier#000000559       ', Decimal('11'))
('Supplier#000000560       ', Decimal('17'))
('Supplier#000000561       ', Decimal('22'))
('Supplier#000000562       ', Decimal('23'))
('Supplier#000000563       ', Decimal('7'))
('Supplier#000000564       ', Decimal('2'))
('Supplier#000000565       ', Decimal('20'))
('Supplier#000000566       ', Decimal('24'))
('Supplier#000000567       ', Decimal('1'))
('Supplier#000000568       ', Decimal('10'))
('Supplier#000000569       ', Decimal('15'))
('Supplier#000000570       ', Decimal('17'))
('Supplier#000000571       ', Decimal('9'))
('Supplier#000000572       ', Decimal('19'))
('Supplier#000000573       ', Decimal('12'))
('Supplier#000000574       ', Decimal('22'))
('Supplier#000000575       ', Decimal('19'))
('Supplier#000000576       ', Decimal('12'))
('Supplier#000000577       ', Decimal('13'))
('Supplier#000000578       ', Decimal('20'))
('Supplier#000000579       ', Decimal('19'))
('Supplier#000000580       ', Decimal('6'))
('Supplier#000000581       ', Decimal('18'))
('Supplier#000000582       ', Decimal('4'))
('Supplier#000000583       ', Decimal('15'))
('Supplier#000000584       ', Decimal('18'))
('Supplier#000000585       ', Decimal('23'))
('Supplier#000000586       ', Decimal('2'))
('Supplier#000000587       ', Decimal('7'))
('Supplier#000000588       ', Decimal('14'))
('Supplier#000000589       ', Decimal('18'))
('Supplier#000000590       ', Decimal('9'))
('Supplier#000000591       ', Decimal('24'))
('Supplier#000000592       ', Decimal('9'))
('Supplier#000000593       ', Decimal('6'))
('Supplier#000000594       ', Decimal('17'))
('Supplier#000000595       ', Decimal('24'))
('Supplier#000000596       ', Decimal('4'))
('Supplier#000000597       ', Decimal('24'))
('Supplier#000000598       ', Decimal('7'))
('Supplier#000000599       ', Decimal('4'))
('Supplier#000000600       ', Decimal('12'))
('Supplier#000000601       ', Decimal('8'))
('Supplier#000000602       ', Decimal('20'))
('Supplier#000000603       ', Decimal('12'))
('Supplier#000000604       ', Decimal('24'))
('Supplier#000000605       ', Decimal('6'))
('Supplier#000000606       ', Decimal('19'))
('Supplier#000000607       ', Decimal('15'))
('Supplier#000000608       ', Decimal('17'))
('Supplier#000000609       ', Decimal('12'))
('Supplier#000000610       ', Decimal('20'))
('Supplier#000000611       ', Decimal('8'))
('Supplier#000000612       ', Decimal('23'))
('Supplier#000000613       ', Decimal('11'))
('Supplier#000000614       ', Decimal('14'))
('Supplier#000000615       ', Decimal('23'))
('Supplier#000000616       ', Decimal('6'))
('Supplier#000000617       ', Decimal('7'))
('Supplier#000000618       ', Decimal('4'))
('Supplier#000000619       ', Decimal('17'))
('Supplier#000000620       ', Decimal('24'))
('Supplier#000000621       ', Decimal('6'))
('Supplier#000000622       ', Decimal('21'))
('Supplier#000000623       ', Decimal('7'))
('Supplier#000000624       ', Decimal('1'))
('Supplier#000000625       ', Decimal('23'))
('Supplier#000000626       ', Decimal('13'))
('Supplier#000000627       ', Decimal('11'))
('Supplier#000000628       ', Decimal('0'))
('Supplier#000000629       ', Decimal('7'))
('Supplier#000000630       ', Decimal('23'))
('Supplier#000000631       ', Decimal('15'))
('Supplier#000000632       ', Decimal('2'))
('Supplier#000000633       ', Decimal('20'))
('Supplier#000000634       ', Decimal('23'))
('Supplier#000000635       ', Decimal('10'))
('Supplier#000000636       ', Decimal('18'))
('Supplier#000000637       ', Decimal('5'))
('Supplier#000000638       ', Decimal('8'))
('Supplier#000000639       ', Decimal('9'))
('Supplier#000000640       ', Decimal('3'))
('Supplier#000000641       ', Decimal('17'))
('Supplier#000000642       ', Decimal('11'))
('Supplier#000000643       ', Decimal('18'))
('Supplier#000000644       ', Decimal('10'))
('Supplier#000000645       ', Decimal('7'))
('Supplier#000000646       ', Decimal('6'))
('Supplier#000000647       ', Decimal('23'))
('Supplier#000000648       ', Decimal('20'))
('Supplier#000000649       ', Decimal('7'))
('Supplier#000000650       ', Decimal('4'))
('Supplier#000000651       ', Decimal('22'))
('Supplier#000000652       ', Decimal('12'))
('Supplier#000000653       ', Decimal('17'))
('Supplier#000000654       ', Decimal('7'))
('Supplier#000000655       ', Decimal('4'))
('Supplier#000000656       ', Decimal('19'))
('Supplier#000000657       ', Decimal('3'))
('Supplier#000000658       ', Decimal('22'))
('Supplier#000000659       ', Decimal('20'))
('Supplier#000000660       ', Decimal('20'))
('Supplier#000000661       ', Decimal('13'))
('Supplier#000000662       ', Decimal('18'))
('Supplier#000000663       ', Decimal('18'))
('Supplier#000000664       ', Decimal('4'))
